donation_id,donor_id,donation_date,amount,fund,payment_method,recurring
D502312,U863,2023-01-01,362.78,General,Online,TRUE
D654825,U438,2023-01-01,81.15,Missions,Online,FALSE
D549434,U138,2023-01-01,138.2,General,Check,TRUE
D849876,U921,2023-01-01,125.75,General,Online,FALSE
D501204,U236,2023-01-01,67.38,General,Online,FALSE
D768895,U554,2023-01-01,114.97,General,Online,TRUE
D477048,U837,2023-01-01,285.49,General,Online,TRUE
D190076,U659,2023-01-01,157.34,General,Check,FALSE
D368359,U688,2023-01-01,123.01,Building,Cash,TRUE
D838878,U182,2023-01-01,93.13,General,Online,FALSE
D915825,U795,2023-01-01,35.01,General,Online,FALSE
D153240,U978,2023-01-01,236.58,Benevolence,Cash,TRUE
D784184,U138,2023-01-01,49.95,Missions,Online,TRUE
D468916,U295,2023-01-01,187.07,General,Online,FALSE
D861054,U868,2023-01-01,377.27,General,Online,TRUE
D995749,U779,2023-01-01,50.46,Benevolence,Online,FALSE
D807015,U385,2023-01-01,182.83,General,Online,TRUE
D456181,U705,2023-01-01,102.53,Missions,Online,TRUE
D551742,U599,2023-01-01,46.72,General,Online,FALSE
D470481,U883,2023-01-01,48.36,Missions,Online,FALSE
D143041,U443,2023-01-01,45.9,General,Check,TRUE
D308908,U409,2023-01-01,87.26,Building,Online,TRUE
D368277,U558,2023-01-01,49.92,General,Check,TRUE
D646099,U119,2023-01-01,181.32,General,Check,TRUE
D490232,U971,2023-01-01,423.08,General,Check,TRUE
D664182,U294,2023-01-01,55.44,General,Online,TRUE
D240711,U960,2023-01-01,192.51,Benevolence,Online,TRUE
D883006,U263,2023-01-01,190.36,General,Check,TRUE
D633613,U151,2023-01-01,146.47,Missions,Online,FALSE
D257581,U975,2023-01-01,65.53,Missions,Online,TRUE
D907391,U633,2023-01-01,111.7,General,Online,TRUE
D507618,U276,2023-01-01,101.42,General,Online,TRUE
D557717,U653,2023-01-01,168.22,General,Online,FALSE
D695790,U926,2023-01-01,95.97,General,Check,TRUE
D407364,U183,2023-01-01,215.65,General,Check,FALSE
